Australian Educational Computing	aec	http://journal.acce.edu.au/index.php/AEC/oai	PDF
Journal of Advanced Guidance and Counseling	agc	https://journal.walisongo.ac.id/index.php/agc/oai	PDF
Australasian Journal of Educational Technology	ajet	https://ajet.org.au/index.php/AJET/oai	PDF
African Journal of Health Professions Education	ajhpe	http://www.ajhpe.org.za/index.php/ajhpe/oai	PDF
African Journal of Teacher Education	ajote	https://journal.lib.uoguelph.ca/index.php/ajote/oai	PDF
Analytic Teaching and Philosophical Praxis	atpp	https://journal.viterbo.edu/index.php/atpp/oai	PDF
BC TEAL Journal	bctj	https://ojs-o.library.ubc.ca/index.php/BCTJ/oai	PDF
Beyond Words	bw	http://journal.wima.ac.id/index.php/BW/oai	PDF
Celt: A Journal of Culture, English Language Teaching & Literature	celt	http://journal.unika.ac.id/index.php/celt/oai	PDF
Current Issues in Education	cieatasu	https://cie.asu.edu/ojs/index.php/cieatasu/oai	PDF
Compass: Journal of Learning and Teaching	compass	https://journals.gre.ac.uk/index.php/compass/oai	PDF
COUNS-EDU: The International Journal of Counseling and Education	counsedu	http://journal.konselor.or.id/index.php/counsedu/oai	PDF
Critical Studies in Teaching and Learning	cristal	http://cristal.ac.za/index.php/cristal/oai	PDF
Journal of Curriculum Studies Research	cs	https://curriculumstudies.org/index.php/CS/oai	PDF
Education as Change	eac	https://upjournals.co.za/index.php/EAC/oai	PDF
Educare	educare	http://journals.mindamas.com/index.php/educare/oai	PDF
EDUCATIO: Journal of Education	educatio	http://ejournal.staimnglawak.ac.id/index.php/educatio/oai	PDF
Edukasi: Jurnal Pendidikan dan Pengajaran	edukasi	http://jurnal.radenfatah.ac.id/index.php/edukasi/oai	PDF
English Education Journal	eej	http://journal.unnes.ac.id/sju/index.php/eej/oai	PDF
Indonesian EFL Journal: Journal of ELT, Linguistics, and Literature	efi	http://ejournal.kopertais4.or.id/mataraman/index.php/efi/oai	PDF
Education. Innovation. Diversity	eid	http://journals.rta.lv/index.php/EID/oai	PDF
Journal of Learning for Development	ejl4d	http://jl4d.org/index.php/ejl4d/oai	PDF
ELT Forum: Journal of English Language Teaching	elt	http://journal.unnes.ac.id/sju/index.php/elt/oai	PDF
English Language Teaching Educational Journal	eltej	http://journal2.uad.ac.id/index.php/eltej/oai	PDF
Eltin Journal	eltin	http://e-journal.stkipsiliwangi.ac.id/index.php/eltin/oai	PDF
Empowerment	empowerment	http://e-journal.stkipsiliwangi.ac.id/index.php/empowerment/oai	PDF
Englisia	englisia	http://jurnal.ar-raniry.ac.id/index.php/englisia/oai	PDF
EnJourMe	enjourme	http://jurnal.unmer.ac.id/index.php/enjourme/oai	PDF
Emerging Perspectives	ep	https://journalhosting.ucalgary.ca/index.php/ep/oai	PDF
English Review: Journal of English Education	erjee	https://journal.uniku.ac.id/index.php/ERJEE/oai	PDF
Educational Technology Quarterly	etq	https://acnsci.org/journal/index.php/etq/oai	PDF
Frontline Learning Research	flr	https://journals.sfu.ca/flr/index.php/journal/oai	PDF
Journal of Foreign Language Teaching and Learning	ftl	https://journal.umy.ac.id/index.php/FTL/oai	PDF
GiST Education and Learning Research Journal	gist	https://latinjournal.org/index.php/gist/oai	PDF
Journal of International Social Studies	iajiss	http://www.iajiss.org/index.php/iajiss/oai	PDF
Journal of ICSAR	icsar	http://journal2.um.ac.id/index.php/icsar/oai	PDF
Indonesian EFL Journal	ieflj	https://journal.uniku.ac.id/index.php/IEFLJ/oai	PDF
International Electronic Journal of Elementary Education	iejee	https://www.iejee.com/index.php/IEJEE/oai	PDF
