The Denning Law Journal	dlj	http://www.ubplj.org/index.php/dlj/oai	PDF
Lentera Hukum	ejlh	https://jurnal.unej.ac.id/index.php/eJLH/oai	PDF
feminists@law	fl	http://journals.kent.ac.uk/index.php/feministsatlaw/oai	PDF
Indonesian Journal of Advocacy and Legal Services	ijals	https://journal.unnes.ac.id/sju/index.php/ijals/oai	PDF
International Journal of Clinical Legal Education	ijcle	http://www.northumbriajournals.co.uk/index.php/ijcle/oai	PDF
Indonesian Journal of Law and Society	ijls	https://jurnal.unej.ac.id/index.php/ijls/oai	PDF
Journal of Human Rights, Culture and Legal System	jhcls	https://www.jhcls.org/index.php/JHCLS/oai	PDF
JILS (Journal of Indonesian Legal Studies)	jils	https://journal.unnes.ac.id/sju/index.php/jils/oai	PDF
Journal of Law and Legal Reform	jllr	https://journal.unnes.ac.id/sju/index.php/jllr/oai	PDF
Journal of Private and Commercial Law	jpcl	https://journal.unnes.ac.id/nju/index.php/jpcl/oai	PDF
Lampung Journal of International Law	lajil	https://jurnal.fh.unila.ac.id/index.php/lajil/oai	PDF
Brawijaya Law Journal	law	http://lawjournal.ub.ac.id/index.php/law/oai	PDF
IALS Student Law Review	lawreview	https://journals.sas.ac.uk/index.php/lawreview/oai	PDF
Law, Ethics and Philosophy	leap	http://www.raco.cat/index.php/LEAP/oai	PDF
Negrei	negrei	http://journal.iaincurup.ac.id/index.php/negrei/oai	PDF
Nordic Journal of Commercial Law	njcl	https://journals.aau.dk/index.php/NJCL/oai	PDF
Revista de Direito Setorial e Regulatório	rdsr	http://periodicos.unb.br/index.php/rdsr/oai	PDF
South African Crime Quarterly	sacq	http://journals.assaf.org.za/index.php/sacq/oai	PDF
Sociological Jurisprudence Journal	sjj	https://ejournal.warmadewa.ac.id/index.php/sjj/oai	PDF
Sriwijaya Law Review	sriwijayalawreview	http://journal.fh.unsri.ac.id/index.php/sriwijayalawreview/oai	PDF
Substantive Justice International Journal of Law	sucila	https://substantivejustice.id/index.php/sucila/oai	PDF
Age of Human Rights Journal	tahrj	http://revistaselectronicas.ujaen.es/index.php/TAHRJ/oai	PDF
Udayana Journal of Law and Culture	ujlc	https://ojs.unud.ac.id/index.php/UJLC/oai	PDF
University of Vienna Law Review	vlr	https://viennalawreview.com/index.php/vlr/oai	PDF
Jurnal Hukum Volkgeist	volkgeist	http://www.jurnal-umbuton.ac.id/index.php/Volkgeist/oai	PDF
Yurisdiksi: Jurnal Wacana Hukum dan Sains	yurisdiksi	http://yurisdiksi.unmerbaya.ac.id/index.php/yurisdiksi/oai	PDF
